Package, Version, License(s)
acl, 2.2.52-2, GPL;LGPL-2
acpi, 1.7-1, GPL
acpi-support-base, 0.142-6, GPL;GPL-2
acpid, 1:2.0.23-2, GPL;GPL-2
adduser, 3.113+nmu3, GPL;GPL-2
apt, 1.0.9.8.5-cl3u1, GPL;GPL-2;GPLv2+
apt-doc, 1.0.9.8.5-cl3u1, GPL;GPL-2;GPLv2+
apt-transport-https, 1.0.9.8.5-cl3u1, GPL;GPL-2;GPLv2+
apt-utils, 1.0.9.8.5-cl3u1, GPL;GPL-2;GPLv2+
arping, 2.14-1, GPL
arptables, 0.0.3.4-1, GPL
atftp, 0.7.git20120829-1+deb8u1, GPL
atftpd, 0.7.git20120829-1+deb8u1, GPL
auditd, 1:2.4-1+b1, GPL;LGPL-2
base-files, 8+deb8u11, GPL
base-passwd, 3.5.37, GPL;GPL-2;PD
bash, 4.3-11+deb8u2, GPL;GPL-3
bash-completion, 1:2.1-4, GPL;GPL-2;GPL-2+
bcm-sdk, 6.5.14-cl3u27, Apache-2.0;Cumulus Proprietary;GPL;GPL-2
bind9-host, 1:9.9.5.dfsg-9+deb8u18, ISC
binutils, 2.25-5+deb8u1, GFDL;GPL;LGPL
bridge-utils, 1.5-9-cl3u2, GPL;GPL-2
bsdmainutils, 9.0.6, BSD
bsdutils, 1:2.25.2-6, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+;LGPL;LGPL-2;LGPL-2+;LGPL-2.1+;LGPL-3;LGPL-3+;MIT;public domain;public-domain
btrfs-tools, 4.8.1-cl3u4, GPL;GPL-2;GPL-2+
busybox, 1:1.22.0-9+deb8u4, GPL;GPL-2
bzip2, 1.0.6-7+deb8u2, GPL;GPL-2
bzr, 2.6.0+bzr6595-6+deb8u1, GPL;GPL-2;GPL-2+
ca-certificates, 20141019+deb8u4, GPL;GPL-2;GPL-2+;MPL-2.0
