Package, Version, License(s), Default-in-image, Cumulus-patched, Cumulus-owned
acpi, 1.7-1.2, GPL, 0, 0, 0
acpi-support-base, 0.143-5.1, GPL-2(*);GPL-2(debian/*), 0, 0, 0
acpica-tools, 20200925-8, Dual GPLv2/ACPICA Licence;GPL-2, 0, 0, 0
acpid, 2.0.33-2+b1, GPL-2(*);GPL-2(debian/*), 0, 0, 0
adduser, 3.134, GPL-2+(*);GPL-2+(examples/*);GPL-2+(deluser);GPL-2+(adduser);GPL-2+(AdduserCommon.pm);GPL-2+(doc/adduser.conf.5);GPL-2+(doc/deluser.conf.5);GPL-2+(doc/deluser.8);GPL-2+(doc/adduser.8);GPL-2+(doc/adduser.local.8);GPL-2+(po/adduser.pot doc/po4a/po/adduser.pot);GPL-2+(po/ca.po);GPL-2+(po/cs.po);GPL-2+(po/da.po);GPL-2+(po/de.po);GPL-2+(po/es.po);GPL-2+(po/eu.po);GPL-2+(po/fr.po);GPL-2+(po/hu.po);GPL-2+(po/it.po);GPL-2+(po/ja.po);GPL-2+(po/ko.po);GPL-2+(po/nb.po);GPL-2+(po/nl.po);GPL-2+(po/pl.po);GPL-2+(po/pt_BR.po);GPL-2+(po/pt.po);GPL-2+(po/ru.po);GPL-2+(po/sk.po);GPL-2+(po/sv.po);GPL-2+(po/uk.po);GPL-2+(po/vi.po);GPL-2+(po/zh_CN.po);GPL-2+(doc/po4a/po/da.po);GPL-2+(doc/po4a/po/de.po);GPL-2+(doc/po4a/po/es.po);GPL-2+(doc/po4a/po/fr.po);GPL-2+(doc/po4a/po/it.po);GPL-2+(doc/po4a/po/pl.po);GPL-2+(doc/po4a/po/pt_BR.po);GPL-2+(doc/po4a/po/pt.po);GPL-2+(doc/po4a/po/ru.po);GPL-2+(doc/po4a/po/sv.po), 0, 0, 0
adwaita-icon-theme, 43-1, CC-BY-SA-3.0;LGPL-3;CC-BY-SA-3.0-US;GPL-unspecified;CC-BY-SA-4.0;GFDL-1.2+;CC-BY-SA-3.0-Unported;CC-BY-SA-2.0-IT;CC-BY-3.0-US;GPL;GFDL-1;public domain, 0, 0, 0
anacron, 2.3-36, GPL-2+(*);GPL-2+(debian/*), 0, 0, 0
apt, 2.6.1+fips-cl5.16.0u1, GPL-2+(*);GPL-2(methods/rsh.cc);BSD-3-clause(CMake/FindBerkeley.cmake);Expat(CMake/Documentation.cmake CMake/FindLFS.cmake), 0, 0, 0
apt-transport-https, 2.6.1, GPL-2+(*);GPL-2(methods/rsh.cc);BSD-3-clause(CMake/FindBerkeley.cmake);Expat(CMake/Documentation.cmake CMake/FindLFS.cmake), 0, 0, 0
apt-utils, 2.6.1+fips-cl5.16.0u1, GPL-2+(*);GPL-2(methods/rsh.cc);BSD-3-clause(CMake/FindBerkeley.cmake);Expat(CMake/Documentation.cmake CMake/FindLFS.cmake), 0, 0, 0
arping, 2.23-1, GPL-2+(*);GPL-2+(debian/*), 0, 0, 0
arptables, 0.0.5-3.1, GPL-2(*);GPL-2(debian/*), 0, 0, 0
asciidoctor, 2.0.18-2, Expat(*);Expat(debian/*), 0, 0, 0
at, 3.2.5-1+b1, GPL-2+(*);GPL-2+(getloadavg.c);GPL-3+(posixtm.*);ISC(parsetime.pl), 0, 0, 0
