Package,Version,License(s)
crypto-browserify-pbkdf2,"v3.1.2, 3.0.17",MIT License
delegates,1.0.0,MIT License
AWS Java SDK for Managed Streaming for Kafka,1.11.892,Apache License 2.0
DataStax Java Driver for Apache Cassandra - Extras,3.5.1,Apache License 2.0
regjsparser,0.6.9,"BSD 2-clause ""Simplified"" License"
gomega,"v1.7.0, 1.4.3, v1.8.1, 20190321-snapshot-5533ce8a, 20180518-snapshot-dcabb60a",MIT License
akka-distributed-data,2.6.14,Apache License 2.0
Byte Buddy,byte-buddy-1.9.10,Apache License 2.0
cliui,"5.0.0, 4.1.0, v6.0.0, v7.0.4",ISC License
AWS Java SDK for AmazonApiGatewayManagementApi,1.11.892,Apache License 2.0
@babel-helper-split-export-declaration,"7.14.5, 7.0.0, 7.16.0, 7.15.4",MIT License
@types-d3-shape,1.3.8,MIT License
cssdb,"4.4.0, 3.2.1",Creative Commons Zero v1.0 Universal
tweetnacl-js,0.14.5,The Unlicense
k8s.io-kube-openapi,"20191107-snapshot-30be4d16, 20190306-snapshot-b3a7cee4, 20190401-snapshot-5e45bb68",Apache License 2.0
AWS Java SDK for Amazon Timestream Query,1.11.892,Apache License 2.0
object-visit,1.0.1,MIT License
config - com.typesafe:config,"1.3.2, 1.2.0, 1.4.0",Apache License 2.0
@types-sizzle,"2.3.3, 2.3.2",MIT License
Apache POI: OOXML,"4.1.2, 3.17",Apache License 2.0
@types-d3-path,1.0.9,MIT License
@blakeembrey-template,1.0.0,Apache License 2.0
blakeembrey-pluralize,"8.0.0, 7.0.0",MIT License
jest-resolve-dependencies,23.6.0,MIT License
postcss-discard-comments,"5.0.1, 4.0.1",MIT License
Docutils,"0.18, 0.15.2","(Python Software Foundation License 2.0 AND BSD 2-clause ""Simplified"" License AND Public Domain),Public Domain"
Chalk,"2.4.1, 1.1.3, v4.1.0, v3.0.0, 4.1.2, 2.4.2",MIT License
is-extendable,"1.0.1, 0.1.1",MIT License
kafka-connect-cassandra,1.2.0,Apache License 2.0
AWS Java SDK :: Core :: Protocols :: AWS Query Protocol,2.15.35,Apache License 2.0
lodash.memoize,4.1.2,MIT License
@babel-preset-env,"7.16.0, 7.1.0, 7.14.7, 7.4.5, 7.14.2",MIT License
Allure Model Integration,2.13.2,Apache License 2.0
Apache Kafka,"0.9.0.1, 2.6.1, 1.1.1, 6.0.0-ccs",Apache License 2.0
k8s.io-utils,"20190321-snapshot-21c4ce38, 20191114-snapshot-e782cd3c",Apache License 2.0
objenesis,2.6,Apache License 2.0
