Package,Version,License(s)
classgraph,4.8.147,MIT License
biginteger-js,1.6.51,The Unlicense
aws-java-sdk-for-aws-cloudformation,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
aws-java-sdk-for-aws-wafv2,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
aws-java-sdk-for-aws-sso-identity-store,"1.12.261, 1.12.124, 1.11.892",Apache License 2.0
aws-java-sdk-for-the-amazon-ec2-container-registry,"1.12.261, 1.12.124, 1.11.892",Apache License 2.0
akka-http-core,"10.0.0, 10.4.0, 10.1.7, 10.2.6, 10.2.7","Apache License 2.0,Business Source License 1.1"
@types-express,4.17.17,MIT License
d3-scale,2.2.2,"BSD 3-clause ""New"" or ""Revised"" License"
aws-java-sdk-for-amazon-fraud-detector,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
@types-pretty-hrtime,1.0.1,MIT License
encodeurl,1.0.2,MIT License
batik-xml-utility-library,1.14,Apache License 2.0
is-extendable,"0.1.1, 1.0.1",MIT License
scalatest-mustmatchers,3.2.15,Apache License 2.0
@babel-plugin-transform-sticky-regex,"7.18.6, 7.16.0, 7.14.5",MIT License
@babel-plugin-transform-duplicate-keys,"7.16.0, 7.14.5, 7.18.9",MIT License
aws-java-sdk-for-aws-network-firewall,"1.12.261, 1.12.124",Apache License 2.0
aws-java-sdk-for-aws-shield,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
selfsigned,v1.10.11,MIT License
aws-java-sdk-for-aws-step-functions,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
apache-commons-compress,"1.21, 1.22, 1.8.1, 1.19",Apache License 2.0
@jimp-plugin-cover,0.10.3,MIT License
scala-xml,"1.3.0, 1.0.4, 1.0.6, 2.1.0, 1.1.0","Apache License 2.0,BSD 3-clause ""New"" or ""Revised"" License"
aws-java-sdk-for-awskendrafrontend,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
apache-commons-codec,"1.15, 1.13, 1.10",Apache License 2.0
google-gofuzz,v1.0.0,Apache License 2.0
