Package,Version,License(s)
aws-java-sdk-for-elastic-load-balancing,"1.12.793, 1.12.770, 1.11.892, 1.12.124",Apache License 2.0
opencontainers-image-spec,v1.1.0,Apache License 2.0
aws-java-sdk-for-aws-simspace-weaver,"1.12.793, 1.12.770",Apache License 2.0
jackson-core,"2.16.2, 2.15.0, 2.17.1, 2.18.3, 2.13.4, 2.17.2, 2.14.3, 2.14.2",Apache License 2.0
osgi-resource-locator-bundle,1.0.3,Eclipse Public License 2.0
aws-java-sdk-for-aws-license-manager,"1.12.793, 1.11.892, 1.12.770, 1.12.124",Apache License 2.0
jopt-simple,"5.0.3, 5.0.4",MIT License
golang-org-x-term,v0.28.0,"BSD 3-clause ""New"" or ""Revised"" License"
google-guice,"4.2.2, 4.0, 4.2.3",Apache License 2.0
cloudwatch-metrics-for-aws-java-sdk,"1.11.892, 1.12.793, 1.12.124, 1.12.770",Apache License 2.0
netty-tomcatnative-[boringssl-static],"2.0.70.Final, 2.0.8.Final",Apache License 2.0
io-swagger-swagger-annotations,"2.1.10, 1.5.20, 1.6.2, 1.6.3",Apache License 2.0
aws-java-sdk-for-aws-cloudhsm-v2,"1.11.892, 1.12.770, 1.12.793, 1.12.124",Apache License 2.0
aws-java-sdk-for-aws-savings-plans,"1.12.793, 1.11.892, 1.12.124, 1.12.770",Apache License 2.0
bouncy-castle,"1.80, 1.60, 1.69, 1.78.1",MIT License
aws-java-sdk-for-aws-import-export,"1.12.793, 1.12.770, 1.12.124, 1.11.892",Apache License 2.0
aws-java-sdk-for-migration-hub-strategy-recommendations,"1.12.124, 1.12.770, 1.12.793",Apache License 2.0
play-functional,"2.4.0-M1, 2.9.2, 3.0.4, 2.8.1",Apache License 2.0
apache-commons-logging,"1.2, 1.3.5",Apache License 2.0
apache-hadoop-registry,3.3.4,Apache License 2.0
jetty-alpn-jdk9-server-implementation,11.0.24,(Apache License 2.0 AND Eclipse Public License 2.0)
apache-commons-beanutils,"1.9.4, 1.11.0",Apache License 2.0
aws-java-sdk-for-aws-certificate-manager-private-certificate-authority,"1.11.892, 1.12.124, 1.12.770, 1.12.793",Apache License 2.0
aws-java-sdk-for-agents-for-amazon-bedrock,"1.12.770, 1.12.793",Apache License 2.0
aws-java-sdk-for-aws-performance-insights,"1.11.892, 1.12.124, 1.12.770, 1.12.793",Apache License 2.0
aws-java-sdk-for-aws-directory-service,"1.12.124, 1.12.770, 1.11.892, 1.12.793",Apache License 2.0
jmes-path-query-library,"1.12.261, 1.11.892, 1.12.770, 1.12.454, 1.12.793",Apache License 2.0
aws-java-sdk-for-payment-cryptography-control-plane,"1.12.793, 1.12.770",Apache License 2.0
aws-java-sdk-for-amazon-managed-grafana,"1.12.124, 1.12.770, 1.12.793",Apache License 2.0
golang-text,"v0.22.0, v0.21.0, 0.16.0","BSD 3-clause ""New"" or ""Revised"" License"
wiremock,3.10.0,Apache License 2.0
aws-java-sdk-for-aws-iot-1-click-projects,"1.12.770, 1.12.793, 1.11.892, 1.12.124",Apache License 2.0
jackson-dataformat-yaml,"2.15.0, 2.18.1, 2.17.1, 2.9.6, 2.13.3, 2.18.3, 2.14.2",Apache License 2.0
config-com-typesafe-config,"1.4.0, 1.3.2, 1.4.1, 1.2.0, 1.4.3",Apache License 2.0
checker-qual,"3.37.0, 3.42.0, 2.5.2, 3.33.0, 2.5.5, 3.8.0, 3.22.0, 3.5.0, 3.12.0",MIT License
aws-java-sdk-for-amazon-eventbridge-pipes,"1.12.793, 1.12.770",Apache License 2.0
aws-java-sdk-for-amazon-rds,"1.12.770, 1.12.124, 1.12.793, 1.11.892",Apache License 2.0
uber-go-mock,v0.4.0,Apache License 2.0
aws-java-sdk-for-aws-marketplace-metering-service,"1.11.892, 1.12.793, 1.12.124, 1.12.770",Apache License 2.0
aws-java-sdk-for-chatbot,"1.12.770, 1.12.793",Apache License 2.0
aws-java-sdk-for-aws-network-firewall,"1.12.124, 1.12.770, 1.12.793",Apache License 2.0
aws-java-sdk-for-amazon-macie-2,"1.12.770, 1.12.124, 1.12.793, 1.11.892",Apache License 2.0
swagger-scala-module,"2.5.0, 1.4.0",Apache License 2.0
aws-java-sdk-for-elastic-disaster-recovery,"1.12.793, 1.12.124, 1.12.770",Apache License 2.0
open-telemetry-opentelemetry-go,"exporters/stdout/stdoutmetric/v1.31.0, exporters/otlp/otlptrace/otlptracehttp/v1.31.0, sdk/metric/v1.31.0, exporters/otlp/otlplog/otlploghttp/v0.7.0, exporters/otlp/otlplog/otlploggrpc/v0.7.0, v1.33.0, exporters/otlp/otlptrace/otlptracegrpc/v1.31.0, sdk/log/v0.7.0, exporters/otlp/otlpmetric/otlpmetricgrpc/v1.31.0, sdk/v1.33.0, exporters/stdout/stdouttrace/v1.31.0, metric/v1.33.0, exporters/stdout/stdoutlog/v0.7.0, exporters/otlp/otlptrace/v1.31.0, log/v0.7.0, exporters/otlp/otlpmetric/otlpmetrichttp/v1.31.0, trace/v1.33.0",Apache License 2.0
aws-java-sdk-for-amazon-cloudwatch-logs,"1.12.124, 1.12.793, 1.12.770, 1.11.892",Apache License 2.0
kerby-kerb-crypto,2.0.3,Apache License 2.0
slf4j-api-module,"2.0.7, 1.7.5, 1.7.25, 2.0.17, 1.7.31, 2.0.16, 2.0.13, 1.7.36",MIT License
aws-java-sdk-for-aws-config,"1.11.892, 1.12.793, 1.12.770, 1.12.124",Apache License 2.0
aws-java-sdk-for-aws-compute-optimizer,"1.12.770, 1.12.793, 1.11.892, 1.12.124",Apache License 2.0
sigs-k8s-io-yaml,v1.4.0,"(MIT License AND Apache License 2.0 AND BSD 3-clause ""New"" or ""Revised"" License)"
kafka-streams-avro-serde,"7.4.0, 6.0.0, 7.8.0",Apache License 2.0
aws-java-sdk-for-redshift-data-api,"1.11.892, 1.12.770, 1.12.124, 1.12.793",Apache License 2.0
aws-java-sdk-for-aws-iot-wireless,"1.12.793, 1.12.124, 1.12.770",Apache License 2.0
aws-java-sdk-for-amazon-elasticache,"1.11.892, 1.12.793, 1.12.124, 1.12.770",Apache License 2.0
aws-java-sdk-for-amazon-elastic-container-registry-public,"1.12.770, 1.12.124, 1.12.793",Apache License 2.0
xmltooling-java,1.4.4,Apache License 2.0
bsm-gomega,v1.27.10,MIT License
github-com-xyproto-randomstring,v1.0.5,MIT License
com-sun-xml-bind-jaxb-impl,2.2.3-1,Common Development and Distribution License 1.1
akka-actor,"2.6.16, 2.6.14",Apache License 2.0
fvbommel-sortorder,v1.0.2,MIT License
hadoop-yarn-server-applicationhistoryservice,3.4.2,Apache License 2.0
netty-tomcatnative-[openssl-classes],"2.0.70.Final, 2.0.48.Final",Apache License 2.0
apache-commons-io,"2.11.0, 2.17.0, 2.20.0, 1.3.2, 2.15.1, 2.16.1",Apache License 2.0
aws-java-sdk-for-aws-server-migration,"1.11.892, 1.12.793, 1.12.770, 1.12.124",Apache License 2.0
build-info-extractor-gradle,4.33.16,Apache License 2.0
aws-java-sdk-for-amazon-route-53-auto-naming,"1.12.770, 1.12.793, 1.12.124, 1.11.892",Apache License 2.0
aws-java-sdk-for-amazon-kinesis-video-streams-media,"1.12.124, 1.12.770, 1.12.793, 1.11.892",Apache License 2.0
aws-java-sdk-for-amazon-appflow,"1.12.124, 1.11.892, 1.12.793, 1.12.770",Apache License 2.0
aws-java-sdk-for-aws-appsync,"1.11.892, 1.12.124, 1.12.793, 1.12.770",Apache License 2.0
netty-tomcatnative-[openssl-dynamic],2.0.48.Final,Apache License 2.0
apache-commons-fileupload,1.5,Apache License 2.0
aws-java-sdk-for-aws-iot-sitewise,"1.12.124, 1.12.770, 1.11.892, 1.12.793",Apache License 2.0
cert-manager-cert-manager,v1.16.4,Apache License 2.0
go-testify,"v1.10.0, v1.9.0",MIT License
aws-java-sdk-for-amazon-pinpoint-sms-and-voice,"1.12.770, 1.12.793, 1.11.892, 1.12.124",Apache License 2.0
fxamacker-cbor,2.7.0,Expat License
j2objc-java-to-ios,"1.1, 2.8, 3.0.0, 1.3",Apache License 2.0
snappy-java,"1.1.10.5, 1.1.8.4, 1.1.7.3, 1.1.8.1",Apache License 2.0
akka-protobuf-v3,"2.6.16, 2.6.14",Apache License 2.0
aspectj-runtime,1.9.4,Eclipse Public License 1.0
aws-java-sdk-for-ec2-image-builder,"1.12.124, 1.11.892, 1.12.793, 1.12.770",Apache License 2.0
aws-java-sdk-for-amazon-emr,"1.12.124, 1.12.793, 1.12.770, 1.11.892",Apache License 2.0
aws-java-sdk-for-amazon-eventbridge-scheduler,"1.12.770, 1.12.793",Apache License 2.0
python-distlib,"0.3.8, 0.2.6","Apache License 2.0,Python Software Foundation License 2.0"
aws-java-sdk-for-aws-app-mesh,"1.11.892, 1.12.770, 1.12.124, 1.12.793",Apache License 2.0
aws-java-sdk-for-amazon-route53,"1.12.124, 1.12.793, 1.11.892, 1.12.770",Apache License 2.0
openconfig-ygot,v0.29.19,Apache License 2.0
yaml-for-go,"v3.0.1, v2.4.0","(MIT License AND Apache License 2.0),Apache License 2.0"
aws-java-sdk-for-amazonapigatewaymanagementapi,"1.12.124, 1.11.892, 1.12.770, 1.12.793",Apache License 2.0
